period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M37.00S,11:37,Q1 11:37,46.38333333333333,7,3pt,MISS J. Brunson 3PT,[],Brunson,0,0,Missed,True,False,1628973,,,rebound,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612742.0,42100311
1,PT11M34.00S,11:34,Q1 11:34,46.43333333333333,8,rebound,K. Looney REBOUND (Off:0 Def:1),[],Looney,0,0,,False,False,1626172,,3pt missed,3pt made,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612744.0,42100311
1,PT11M22.00S,11:22,Q1 11:22,46.63333333333333,9,3pt,A. Wiggins 27' 3PT pullup (3 PTS) (S. Curry 1 AST),[],Wiggins,3,0,Made,True,True,203952,201939.0,rebound,2pt made,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612744.0,42100311
1,PT11M01.00S,11:01,Q1 11:01,46.983333333333334,11,2pt,J. Brunson 14' step back Jump Shot (2 PTS),[],Brunson,3,2,Made,True,False,1628973,,3pt made,2pt made,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612742.0,42100311
1,PT10M44.00S,10:44,Q1 10:44,45.266666666666666,12,2pt,K. Looney cutting DUNK (2 PTS) (S. Curry 2 AST),['pointsinthepaint'],Looney,5,2,Made,True,True,1626172,201939.0,2pt made,3pt missed,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612744.0,42100311
1,PT10M29.00S,10:29,Q1 10:29,45.516666666666666,14,3pt,MISS L. Doncic 28' 3PT,[],Doncic,5,2,Missed,True,False,1629029,,2pt made,rebound,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612742.0,42100311
1,PT10M26.00S,10:26,Q1 10:26,45.56666666666667,15,rebound,D. Powell REBOUND (Off:1 Def:0),[],Powell,5,2,,False,False,203939,,3pt missed,3pt made,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612742.0,42100311
1,PT10M24.00S,10:24,Q1 10:24,45.6,17,3pt,D. Finney-Smith 3PT  (3 PTS) (L. Doncic 1 AST),['2ndchance'],Finney-Smith,5,5,Made,True,True,1627827,1629029.0,rebound,3pt missed,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612742.0,42100311
1,PT10M10.00S,10:10,Q1 10:10,45.833333333333336,19,3pt,MISS S. Curry 26' pullup 3PT,[],Curry,5,5,Missed,True,False,201939,,3pt made,rebound,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612744.0,42100311
1,PT10M07.00S,10:07,Q1 10:07,45.88333333333333,20,rebound,L. Doncic REBOUND (Off:0 Def:1),[],Doncic,5,5,,False,False,1629029,,3pt missed,2pt made,,,,1626172|1627827|1628973|1629029|201939|202691|203110|203493|203939|203952,1610612742.0,42100311
