period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M39.00S,11:39,Q1 11:39,46.35,8,2pt,MISS J. Butler 13' turnaround fadeaway Shot,[],Butler,0,0,Missed,True,False,202710,,,rebound,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT11M35.00S,11:35,Q1 11:35,46.416666666666664,9,rebound,J. Duren REBOUND (Off:0 Def:1),[],Duren,0,0,,False,False,1631105,,2pt missed,2pt missed,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT11M24.00S,11:24,Q1 11:24,46.6,10,2pt,MISS T. Hardaway Jr. 8' turnaround fadeaway bank Shot,[],Hardaway Jr.,0,0,Missed,True,False,203501,,rebound,rebound,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT11M21.00S,11:21,Q1 11:21,46.65,11,rebound,B. Adebayo REBOUND (Off:0 Def:1),[],Adebayo,0,0,,False,False,1628389,,2pt missed,3pt missed,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT11M08.00S,11:08,Q1 11:08,46.86666666666667,12,3pt,MISS N. Jović 25' 3PT,[],Jović,0,0,Missed,True,False,1631107,,rebound,rebound,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT11M06.00S,11:06,Q1 11:06,46.9,13,rebound,TEAM defensive REBOUND,['team'],,0,0,,False,False,0,,3pt missed,2pt made,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,15,2pt,T. Harris driving Layup (2 PTS),['pointsinthepaint'],Harris,0,2,Made,True,False,202699,,rebound,foul,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,16,foul,N. Jović shooting personal FOUL (1 PF) (Harris 1 FT),['1freethrow'],Jović,0,2,,False,False,1631107,,2pt made,freethrow,202699.0,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,18,freethrow,T. Harris Free Throw 1 of 1 (3 PTS),[],Harris,0,3,Made,False,False,202699,,foul,3pt made,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT10M36.00S,10:36,Q1 10:36,45.4,19,3pt,N. Jović 3PT  (3 PTS) (J. Butler 1 AST),[],Jović,3,3,Made,True,True,1631107,202710.0,freethrow,foul,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT10M29.00S,10:29,Q1 10:29,45.516666666666666,21,foul,J. Butler shooting personal FOUL (1 PF) (Hardaway Jr. 2 FT),['2freethrow'],Butler,3,3,,False,False,202710,,3pt made,freethrow,203501.0,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT10M29.00S,10:29,Q1 10:29,45.516666666666666,23,freethrow,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[],Hardaway Jr.,3,4,Made,False,False,203501,,foul,freethrow,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT10M29.00S,10:29,Q1 10:29,45.516666666666666,24,freethrow,T. Hardaway Jr. Free Throw 2 of 2 (2 PTS),[],Hardaway Jr.,3,5,Made,False,False,203501,,freethrow,2pt made,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT10M22.00S,10:22,Q1 10:22,45.63333333333333,25,2pt,T. Rozier driving finger roll Layup (2 PTS) (T. Herro 1 AST),['pointsinthepaint'],Rozier,5,5,Made,True,True,1626179,1629639.0,freethrow,3pt made,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT10M14.00S,10:14,Q1 10:14,45.766666666666666,27,3pt,C. Cunningham 25' 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),[],Cunningham,5,8,Made,True,True,1630595,203501.0,2pt made,foul,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT09M58.00S,09:58,Q1 09:58,44.03333333333333,29,foul,T. Hardaway Jr. personal FOUL (1 PF),[],Hardaway Jr.,5,8,,False,False,203501,,3pt made,2pt made,1628389.0,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT09M43.00S,09:43,Q1 09:43,44.28333333333333,31,2pt,T. Herro driving finger roll Layup (2 PTS),['pointsinthepaint'],Herro,7,8,Made,True,False,1629639,,foul,2pt made,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT09M33.00S,09:33,Q1 09:33,44.45,32,2pt,J. Duren alley-oop DUNK (2 PTS) (C. Cunningham 1 AST),['pointsinthepaint'],Duren,7,10,Made,True,True,1631105,1630595.0,2pt made,3pt missed,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
1,PT09M20.00S,09:20,Q1 09:20,44.666666666666664,34,3pt,MISS T. Herro 29' 3PT,[],Herro,7,10,Missed,True,False,1629639,,2pt made,rebound,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT09M16.00S,09:16,Q1 09:16,44.733333333333334,35,rebound,N. Jović REBOUND (Off:1 Def:0),[],Jović,7,10,,False,False,1631107,,3pt missed,foul,,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612748.0,22400105
1,PT09M14.00S,09:14,Q1 09:14,44.766666666666666,36,foul,C. Cunningham personal FOUL (1 PF),[],Cunningham,7,10,,False,False,1630595,,rebound,foul,1631107.0,,,1626179|1628389|1629639|1630595|1631093|1631105|1631107|202699|202710|203501,1610612765.0,22400105
