period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M43.00S,11:43,Q1 11:43,46.28333333333333,7,2pt,J. Brunson driving finger roll Layup (2 PTS),['pointsinthepaint'],Brunson,0,2,Made,True,False,1628973,,,2pt made,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612752.0,42400306
1,PT11M27.00S,11:27,Q1 11:27,46.55,8,2pt,A. Nesmith cutting Layup (2 PTS) (P. Siakam 1 AST),['pointsinthepaint'],Nesmith,2,2,Made,True,True,1630174,1627783.0,2pt made,2pt made,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612754.0,42400306
1,PT11M07.00S,11:07,Q1 11:07,46.88333333333333,10,2pt,J. Brunson 11' driving floating bank Jump Shot (4 PTS) (M. Bridges 1 AST),[],Brunson,2,4,Made,True,True,1628973,1628969.0,2pt made,2pt missed,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612752.0,42400306
1,PT10M58.00S,10:58,Q1 10:58,45.03333333333333,12,2pt,MISS P. Siakam 12' fadeaway Shot,['pointsinthepaint'],Siakam,2,4,Missed,True,False,1627783,,2pt made,rebound,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612754.0,42400306
1,PT10M54.00S,10:54,Q1 10:54,45.1,13,rebound,O. Anunoby REBOUND (Off:0 Def:1),[],Anunoby,2,4,,False,False,1628384,,2pt missed,2pt missed,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612752.0,42400306
1,PT10M44.00S,10:44,Q1 10:44,45.266666666666666,14,2pt,MISS M. Bridges 12' turnaround Shot,[],Bridges,2,4,Missed,True,False,1628969,,rebound,rebound,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612752.0,42400306
1,PT10M40.00S,10:40,Q1 10:40,45.333333333333336,15,rebound,M. Turner REBOUND (Off:0 Def:1),[],Turner,2,4,,False,False,1626167,,2pt missed,3pt missed,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612754.0,42400306
1,PT10M35.00S,10:35,Q1 10:35,45.416666666666664,16,3pt,MISS M. Turner 27' 3PT,[],Turner,2,4,Missed,True,False,1626167,,rebound,rebound,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612754.0,42400306
1,PT10M33.00S,10:33,Q1 10:33,45.45,17,rebound,J. Brunson REBOUND (Off:0 Def:1),[],Brunson,2,4,,False,False,1628973,,3pt missed,foul,,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612752.0,42400306
1,PT10M33.00S,10:33,Q1 10:33,45.45,18,foul,A. Nesmith personal FOUL (1 PF),[],Nesmith,2,4,,False,False,1630174,,rebound,turnover,1628973.0,,,1626157|1626167|1627783|1628384|1628969|1628973|1629011|1629614|1630169|1630174,1610612754.0,42400306
