period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M42.00S,11:42,Q1 11:42,46.3,7,2pt,I. Quickley 13' step back Jump Shot (2 PTS),[],Quickley,2,0,Made,True,False,1630193,,,foul,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612761.0,22301137
1,PT11M26.00S,11:26,Q1 11:26,46.56666666666667,8,foul,O. Agbaji personal FOUL (1 PF),[],Agbaji,2,0,,False,False,1630534,,2pt made,turnover,1631098.0,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612761.0,22301137
1,PT11M21.00S,11:21,Q1 11:21,46.65,10,turnover,C. Kispert lost ball out-of-bounds TURNOVER (1 TO),[],Kispert,2,0,,False,False,1630557,,foul,turnover,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612764.0,22301137
1,PT11M09.00S,11:09,Q1 11:09,46.85,11,turnover,K. Olynyk bad pass TURNOVER (1 TO),[],Olynyk,2,0,,False,False,203482,,turnover,steal,,1629673.0,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612761.0,22301137
1,PT11M09.00S,11:09,Q1 11:09,46.85,12,steal,J. Poole STEAL (1 STL),[],Poole,2,0,,False,False,1629673,,turnover,3pt made,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612764.0,22301137
1,PT10M53.00S,10:53,Q1 10:53,45.11666666666667,13,3pt,D. Avdija 25' 3PT  (3 PTS) (J. Poole 1 AST),['fromturnover'],Avdija,2,3,Made,True,True,1630166,1629673.0,steal,3pt missed,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612764.0,22301137
1,PT10M38.00S,10:38,Q1 10:38,45.36666666666667,15,3pt,MISS O. Agbaji 26' 3PT,[],Agbaji,2,3,Missed,True,False,1630534,,3pt made,rebound,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612761.0,22301137
1,PT10M35.00S,10:35,Q1 10:35,45.416666666666664,16,rebound,T. Vukcevic REBOUND (Off:0 Def:1),[],Vukcevic,2,3,,False,False,1641774,,3pt missed,2pt missed,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612764.0,22301137
1,PT10M26.00S,10:26,Q1 10:26,45.56666666666667,17,2pt,MISS C. Kispert 12' driving floating bank Shot,['pointsinthepaint'],Kispert,2,3,Missed,True,False,1630557,,rebound,rebound,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612764.0,22301137
1,PT10M23.00S,10:23,Q1 10:23,45.61666666666667,18,rebound,K. Olynyk REBOUND (Off:0 Def:1),[],Olynyk,2,3,,False,False,203482,,2pt missed,2pt made,,,,1629018|1629628|1629673|1630166|1630193|1630534|1630557|1631098|1641774|203482,1610612761.0,22301137
