period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M45.00S,11:45,Q1 11:45,46.25,7,2pt,MISS B. Adebayo 15' Jump Shot,[],Adebayo,0,0,Missed,True,False,1628389,,,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT11M44.00S,11:44,Q1 11:44,46.266666666666666,8,rebound,K. Towns REBOUND (Off:0 Def:1),[],Towns,0,0,,False,False,1626157,,2pt missed,turnover,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT11M26.00S,11:26,Q1 11:26,46.56666666666667,9,turnover,M. Bridges bad pass TURNOVER (1 TO),[],Bridges,0,0,,False,False,1628969,,rebound,steal,,1628389.0,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT11M26.00S,11:26,Q1 11:26,46.56666666666667,10,steal,B. Adebayo STEAL (1 STL),[],Adebayo,0,0,,False,False,1628389,,turnover,2pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT11M11.00S,11:11,Q1 11:11,46.81666666666667,11,2pt,T. Herro 9' driving floating bank Jump Shot (2 PTS) (B. Adebayo 1 AST),['fromturnover'],Herro,0,2,Made,True,True,1629639,1628389.0,steal,turnover,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT10M51.00S,10:51,Q1 10:51,45.15,12,turnover,J. Hart bad pass out-of-bounds TURNOVER (1 TO),[],Hart,0,2,,False,False,1628404,,2pt made,2pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT10M43.00S,10:43,Q1 10:43,45.28333333333333,13,2pt,J. Jaquez Jr. driving floating bank Jump Shot (2 PTS),"['pointsinthepaint', 'fromturnover']",Jaquez Jr.,0,4,Made,True,False,1631170,,turnover,3pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT10M19.00S,10:19,Q1 10:19,45.68333333333333,14,3pt,MISS K. Towns 3PT,[],Towns,0,4,Missed,True,False,1626157,,2pt made,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT10M17.00S,10:17,Q1 10:17,45.71666666666667,15,rebound,J. Jaquez Jr. REBOUND (Off:0 Def:1),[],Jaquez Jr.,0,4,,False,False,1631170,,3pt missed,2pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT10M02.00S,10:02,Q1 10:02,45.96666666666667,16,2pt,D. Robinson driving Layup (2 PTS) (B. Adebayo 2 AST),['pointsinthepaint'],Robinson,0,6,Made,True,True,1629130,1628389.0,rebound,2pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT09M37.00S,09:37,Q1 09:37,44.38333333333333,18,2pt,MISS M. McBride 10' driving floating Shot,[],McBride,0,6,Missed,True,False,1630540,,2pt made,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT09M35.00S,09:35,Q1 09:35,44.416666666666664,19,rebound,B. Adebayo REBOUND (Off:0 Def:1),[],Adebayo,0,6,,False,False,1628389,,2pt missed,3pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT09M29.00S,09:29,Q1 09:29,44.516666666666666,20,3pt,D. Robinson 24' 3PT running (5 PTS) (T. Herro 1 AST),['fastbreak'],Robinson,0,9,Made,True,True,1629130,1629639.0,rebound,timeout,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT09M22.00S,09:22,Q1 09:22,44.63333333333333,22,timeout,NYK Timeout,['team'],,0,9,,False,False,0,,3pt made,3pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT09M14.00S,09:14,Q1 09:14,44.766666666666666,24,3pt,MISS M. McBride 25' pullup 3PT,[],McBride,0,9,Missed,True,False,1630540,,timeout,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT09M12.00S,09:12,Q1 09:12,44.8,25,rebound,J. Jaquez Jr. REBOUND (Off:0 Def:2),[],Jaquez Jr.,0,9,,False,False,1631170,,3pt missed,3pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT09M06.00S,09:06,Q1 09:06,44.9,26,3pt,MISS D. Robinson 26' pullup 3PT,[],Robinson,0,9,Missed,True,False,1629130,,rebound,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT09M03.00S,09:03,Q1 09:03,44.95,27,rebound,K. Towns REBOUND (Off:0 Def:2),[],Towns,0,9,,False,False,1626157,,3pt missed,2pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT08M49.00S,08:49,Q1 08:49,43.18333333333333,28,2pt,MISS K. Towns 20' fadeaway Shot,[],Towns,0,9,Missed,True,False,1626157,,rebound,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT08M47.00S,08:47,Q1 08:47,43.21666666666667,29,rebound,B. Adebayo REBOUND (Off:0 Def:2),[],Adebayo,0,9,,False,False,1628389,,2pt missed,3pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT08M38.00S,08:38,Q1 08:38,43.36666666666667,30,3pt,D. Robinson 24' 3PT  (8 PTS) (H. Highsmith 1 AST),[],Robinson,0,12,Made,True,True,1629130,1629312.0,rebound,2pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT08M17.00S,08:17,Q1 08:17,43.71666666666667,32,2pt,MISS O. Anunoby driving Layup,['pointsinthepaint'],Anunoby,0,12,Missed,True,False,1628384,,3pt made,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT08M14.00S,08:14,Q1 08:14,43.766666666666666,33,rebound,J. Jaquez Jr. REBOUND (Off:0 Def:3),[],Jaquez Jr.,0,12,,False,False,1631170,,2pt missed,turnover,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT08M08.00S,08:08,Q1 08:08,43.86666666666667,34,turnover,J. Jaquez Jr. bad pass TURNOVER (1 TO),[],Jaquez Jr.,0,12,,False,False,1631170,,rebound,steal,,1628404.0,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT08M08.00S,08:08,Q1 08:08,43.86666666666667,35,steal,J. Hart STEAL (1 STL),[],Hart,0,12,,False,False,1628404,,turnover,3pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT07M57.00S,07:57,Q1 07:57,42.05,36,3pt,M. Bridges 25' 3PT  (3 PTS) (J. Hart 1 AST),['fromturnover'],Bridges,3,12,Made,True,True,1628969,1628404.0,steal,3pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT07M32.00S,07:32,Q1 07:32,42.46666666666667,38,3pt,MISS D. Robinson 25' pullup 3PT,[],Robinson,3,12,Missed,True,False,1629130,,3pt made,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT07M30.00S,07:30,Q1 07:30,42.5,39,rebound,J. Jaquez Jr. REBOUND (Off:1 Def:3),[],Jaquez Jr.,3,12,,False,False,1631170,,3pt missed,3pt missed,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT07M26.00S,07:26,Q1 07:26,42.56666666666667,40,3pt,MISS H. Highsmith 25' 3PT,['2ndchance'],Highsmith,3,12,Missed,True,False,1629312,,rebound,rebound,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT07M23.00S,07:23,Q1 07:23,42.61666666666667,41,rebound,J. Hart REBOUND (Off:0 Def:1),[],Hart,3,12,,False,False,1628404,,3pt missed,foul,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT07M15.00S,07:15,Q1 07:15,42.75,42,foul,B. Adebayo personal FOUL (1 PF),[],Adebayo,3,12,,False,False,1628389,,rebound,2pt made,1628384.0,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT07M03.00S,07:03,Q1 07:03,42.95,44,2pt,M. McBride driving Layup (2 PTS) (M. Bridges 1 AST),['pointsinthepaint'],McBride,5,12,Made,True,True,1630540,1628969.0,foul,2pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT06M42.00S,06:42,Q1 06:42,41.3,46,2pt,H. Highsmith cutting Layup (2 PTS) (J. Jaquez Jr. 1 AST),['pointsinthepaint'],Highsmith,5,14,Made,True,True,1629312,1631170.0,2pt made,2pt made,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
1,PT06M28.00S,06:28,Q1 06:28,41.53333333333333,48,2pt,K. Towns driving floating Jump Shot (2 PTS) (M. McBride 1 AST),['pointsinthepaint'],Towns,7,14,Made,True,True,1626157,1630540.0,2pt made,turnover,,,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612752.0,22400984
1,PT06M11.00S,06:11,Q1 06:11,41.81666666666667,49,turnover,D. Robinson bad pass TURNOVER (1 TO),[],Robinson,7,14,,False,False,1629130,,2pt made,steal,,1628404.0,,1626157|1628384|1628389|1628404|1628969|1629130|1629312|1629639|1630540|1631170,1610612748.0,22400984
