period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M43.00S,11:43,Q1 11:43,46.28333333333333,7,turnover,N. Claxton bad pass TURNOVER (1 TO),[],Claxton,0,0,,False,False,1629651,,,steal,,1631110.0,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT11M43.00S,11:43,Q1 11:43,46.28333333333333,8,steal,J. Sochan STEAL (1 STL),[],Sochan,0,0,,False,False,1631110,,turnover,2pt missed,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612759.0,22200555
1,PT11M38.00S,11:38,Q1 11:38,46.36666666666667,9,2pt,MISS K. Johnson running reverse Layup - blocked,"['fastbreak', 'pointsinthepaint', 'fromturnover']",Johnson,0,0,Missed,True,False,1629640,,steal,block,,,1629651.0,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612759.0,22200555
1,PT11M38.00S,11:38,Q1 11:38,46.36666666666667,10,block,N. Claxton BLOCK (1 BLK),[],Claxton,0,0,,False,False,1629651,,2pt missed,rebound,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT11M35.00S,11:35,Q1 11:35,46.416666666666664,11,rebound,N. Claxton REBOUND (Off:0 Def:1),[],Claxton,0,0,,False,False,1629651,,block,3pt missed,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT11M33.00S,11:33,Q1 11:33,46.45,12,3pt,MISS S. Curry 24' running 3PT,['fastbreak'],Curry,0,0,Missed,True,False,203552,,rebound,rebound,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT11M28.00S,11:28,Q1 11:28,46.53333333333333,13,rebound,N. Claxton REBOUND (Off:1 Def:1),[],Claxton,0,0,,False,False,1629651,,3pt missed,2pt made,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT11M28.00S,11:28,Q1 11:28,46.53333333333333,14,2pt,N. Claxton tip DUNK (2 PTS),"['2ndchance', 'pointsinthepaint']",Claxton,2,0,Made,True,False,1629651,,rebound,2pt missed,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,15,2pt,MISS D. Vassell 20' pullup Shot,[],Vassell,2,0,Missed,True,False,1630170,,2pt made,rebound,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612759.0,22200555
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,16,rebound,TEAM offensive REBOUND,['team'],,2,0,,False,False,0,,2pt missed,2pt made,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612759.0,22200555
1,PT11M06.00S,11:06,Q1 11:06,46.9,18,2pt,T. Jones 14' driving floating Jump Shot (2 PTS) (J. Poeltl 1 AST),"['pointsinthepaint', '2ndchance']",Jones,2,2,Made,True,True,1630200,1627751.0,rebound,2pt made,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612759.0,22200555
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,20,2pt,K. Durant 11' step back Jump Shot (2 PTS),[],Durant,4,2,Made,True,False,201142,,2pt made,3pt missed,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612751.0,22200555
1,PT10M38.00S,10:38,Q1 10:38,45.36666666666667,21,3pt,MISS K. Johnson 25' 3PT,[],Johnson,4,2,Missed,True,False,1629640,,2pt made,rebound,,,,1627732|1627751|1629640|1629651|1630170|1630200|1631110|201142|202681|203552,1610612759.0,22200555
