period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M41.00S,11:41,Q1 11:41,46.31666666666667,7,3pt,MISS J. Collins 3PT - blocked,[],Collins,0,0,Missed,True,False,1628381,,,block,,,1630567.0,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT11M41.00S,11:41,Q1 11:41,46.31666666666667,8,block,S. Barnes BLOCK (1 BLK),[],Barnes,0,0,,False,False,1630567,,3pt missed,rebound,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT11M37.00S,11:37,Q1 11:37,46.38333333333333,9,rebound,I. Quickley REBOUND (Off:0 Def:1),[],Quickley,0,0,,False,False,1630193,,block,3pt made,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT11M34.00S,11:34,Q1 11:34,46.43333333333333,10,3pt,I. Quickley 31' 3PT running pullup (3 PTS),['fastbreak'],Quickley,0,3,Made,True,False,1630193,,rebound,3pt missed,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT11M16.00S,11:16,Q1 11:16,46.733333333333334,11,3pt,MISS S. Fontecchio 26' 3PT,[],Fontecchio,0,3,Missed,True,False,1631323,,3pt made,rebound,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,12,rebound,S. Barnes REBOUND (Off:0 Def:1),[],Barnes,0,3,,False,False,1630567,,3pt missed,2pt made,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT11M01.00S,11:01,Q1 11:01,46.983333333333334,13,2pt,S. Barnes 9' turnaround Jump Shot (2 PTS),['pointsinthepaint'],Barnes,0,5,Made,True,False,1630567,,rebound,3pt made,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT10M38.00S,10:38,Q1 10:38,45.36666666666667,14,3pt,L. Markkanen 25' 3PT step back (3 PTS) (J. Collins 1 AST),[],Markkanen,3,5,Made,True,True,1628374,1628381.0,2pt made,3pt missed,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT10M21.00S,10:21,Q1 10:21,45.65,16,3pt,MISS R. Barrett 25' 3PT,[],Barrett,3,5,Missed,True,False,1629628,,3pt made,rebound,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT10M19.00S,10:19,Q1 10:19,45.68333333333333,17,rebound,L. Markkanen REBOUND (Off:0 Def:1),[],Markkanen,3,5,,False,False,1628374,,3pt missed,2pt missed,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT10M13.00S,10:13,Q1 10:13,45.78333333333333,18,2pt,MISS C. Sexton running Layup - blocked,"['fastbreak', 'pointsinthepaint']",Sexton,3,5,Missed,True,False,1629012,,rebound,block,,,1629628.0,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT10M13.00S,10:13,Q1 10:13,45.78333333333333,19,block,R. Barrett BLOCK (1 BLK),[],Barrett,3,5,,False,False,1629628,,2pt missed,rebound,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT10M10.00S,10:10,Q1 10:10,45.833333333333336,20,rebound,K. Dunn REBOUND (Off:1 Def:0),[],Dunn,3,5,,False,False,1627739,,block,2pt missed,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT10M08.00S,10:08,Q1 10:08,45.86666666666667,21,2pt,MISS L. Markkanen cutting Layup - blocked,"['pointsinthepaint', '2ndchance']",Markkanen,3,5,Missed,True,False,1628374,,rebound,block,,,1629628.0,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
1,PT10M08.00S,10:08,Q1 10:08,45.86666666666667,22,block,R. Barrett BLOCK (2 BLK),[],Barrett,3,5,,False,False,1629628,,2pt missed,rebound,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612761.0,22300540
1,PT10M08.00S,10:08,Q1 10:08,45.86666666666667,23,rebound,TEAM offensive REBOUND,['team'],,3,5,,False,False,0,,block,foul,,,,1627739|1627783|1628374|1628381|1629012|1629628|1630193|1630567|1631323|201152,1610612762.0,22300540
