period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M45.00S,11:45,Q1 11:45,46.25,7,2pt,B. Simmons pullup bank Jump Shot (2 PTS),['pointsinthepaint'],Simmons,0,2,Made,True,False,1627732,,,2pt missed,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612755.0,22000064
1,PT11M33.00S,11:33,Q1 11:33,46.45,8,2pt,MISS M. Fultz 19' pullup Shot,[],Fultz,0,2,Missed,True,False,1628365,,2pt made,rebound,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612753.0,22000064
1,PT11M30.00S,11:30,Q1 11:30,46.5,9,rebound,S. Curry REBOUND (Off:0 Def:1),[],Curry,0,2,,False,False,203552,,2pt missed,2pt made,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612755.0,22000064
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,10,2pt,S. Curry driving Layup (2 PTS),['pointsinthepaint'],Curry,0,4,Made,True,False,203552,,rebound,3pt missed,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612755.0,22000064
1,PT10M58.00S,10:58,Q1 10:58,45.03333333333333,11,3pt,MISS A. Gordon 24' 3PT,[],Gordon,0,4,Missed,True,False,203932,,2pt made,rebound,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612753.0,22000064
1,PT10M56.00S,10:56,Q1 10:56,45.06666666666667,12,rebound,N. Vucevic REBOUND (Off:1 Def:0),[],Vucevic,0,4,,False,False,202696,,3pt missed,2pt made,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612753.0,22000064
1,PT10M54.00S,10:54,Q1 10:54,45.1,13,2pt,N. Vucevic 19' Jump Shot (2 PTS),['2ndchance'],Vucevic,2,4,Made,True,False,202696,,rebound,2pt missed,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612753.0,22000064
1,PT10M39.00S,10:39,Q1 10:39,45.35,14,2pt,MISS B. Simmons driving Layup,['pointsinthepaint'],Simmons,2,4,Missed,True,False,1627732,,2pt made,rebound,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612755.0,22000064
1,PT10M37.00S,10:37,Q1 10:37,45.38333333333333,15,rebound,N. Vucevic REBOUND (Off:1 Def:1),[],Vucevic,2,4,,False,False,202696,,2pt missed,turnover,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612753.0,22000064
1,PT10M33.00S,10:33,Q1 10:33,45.45,16,turnover,D. Bacon lost ball out-of-bounds TURNOVER (1 TO),[],Bacon,2,4,,False,False,1628407,,rebound,3pt missed,,,,1627732|1628365|1628407|201980|202696|202699|203095|203552|203932|203954,1610612753.0,22000064
