period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M45.00S,11:45,Q1 11:45,46.25,7,2pt,MISS J. Brown 10' fadeaway Shot,['pointsinthepaint'],Brown,0,0,Missed,True,False,1627759,,,rebound,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612738.0,22400968
1,PT11M39.00S,11:39,Q1 11:39,46.35,8,rebound,D. Russell REBOUND (Off:0 Def:1),[],Russell,0,0,,False,False,1626156,,2pt missed,2pt made,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
1,PT11M25.00S,11:25,Q1 11:25,46.583333333333336,9,2pt,D. Russell 8' driving floating Jump Shot (2 PTS),"['pointsinthepaint', 'defensivegoaltending']",Russell,2,0,Made,True,False,1626156,,rebound,2pt made,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
1,PT11M09.00S,11:09,Q1 11:09,46.85,11,2pt,K. Porziņģis driving floating Jump Shot (2 PTS) (J. Holiday 1 AST),['pointsinthepaint'],Porziņģis,2,2,Made,True,True,204001,201950.0,2pt made,3pt missed,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612738.0,22400968
1,PT10M52.00S,10:52,Q1 10:52,45.13333333333333,13,3pt,MISS K. Johnson 3PT,[],Johnson,2,2,Missed,True,False,1630553,,2pt made,rebound,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,14,rebound,J. Brown REBOUND (Off:0 Def:1),[],Brown,2,2,,False,False,1627759,,3pt missed,3pt missed,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612738.0,22400968
1,PT10M41.00S,10:41,Q1 10:41,45.31666666666667,15,3pt,MISS K. Porziņģis 27' 3PT,[],Porziņģis,2,2,Missed,True,False,204001,,rebound,rebound,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612738.0,22400968
1,PT10M40.00S,10:40,Q1 10:40,45.333333333333336,16,rebound,TEAM defensive REBOUND,['team'],,2,2,,False,False,0,,3pt missed,3pt made,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
1,PT10M18.00S,10:18,Q1 10:18,45.7,18,3pt,K. Johnson 24' 3PT pullup (3 PTS) (D. Sharpe 1 AST),[],Johnson,5,2,Made,True,True,1630553,1630549.0,rebound,3pt missed,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
1,PT09M59.00S,09:59,Q1 09:59,44.016666666666666,20,3pt,MISS J. Holiday 3PT,[],Holiday,5,2,Missed,True,False,201950,,3pt made,rebound,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612738.0,22400968
1,PT09M57.00S,09:57,Q1 09:57,44.05,21,rebound,D. Sharpe REBOUND (Off:0 Def:1),[],Sharpe,5,2,,False,False,1630549,,3pt missed,2pt missed,,,,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
1,PT09M51.00S,09:51,Q1 09:51,44.15,22,2pt,MISS K. Johnson running Layup - blocked,"['fastbreak', 'pointsinthepaint']",Johnson,5,2,Missed,True,False,1630553,,rebound,block,,,1627759.0,1626156|1627759|1628369|1629661|1630533|1630549|1630553|1630573|201950|204001,1610612751.0,22400968
