period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M41.00S,11:41,Q1 11:41,46.31666666666667,7,2pt,MISS K. Irving 18' fadeaway Shot,[],Irving,0,0,Missed,True,False,202681,,,rebound,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT11M38.00S,11:38,Q1 11:38,46.36666666666667,8,rebound,TEAM defensive REBOUND,['team'],,0,0,,False,False,0,,2pt missed,2pt made,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT11M15.00S,11:15,Q1 11:15,46.75,10,2pt,K. Sykes driving finger roll Layup (2 PTS),['pointsinthepaint'],Sykes,2,0,Made,True,False,1626208,,rebound,2pt made,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT11M01.00S,11:01,Q1 11:01,46.983333333333334,11,2pt,K. Durant 13' turnaround Jump Shot (2 PTS) (K. Irving 1 AST),['pointsinthepaint'],Durant,2,2,Made,True,True,201142,202681.0,2pt made,turnover,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,13,turnover,D. Sabonis bad pass TURNOVER (1 TO),[],Sabonis,2,2,,False,False,1627734,,2pt made,steal,,1629651.0,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT10M49.00S,10:49,Q1 10:49,45.18333333333333,14,steal,N. Claxton STEAL (1 STL),[],Claxton,2,2,,False,False,1629651,,turnover,2pt missed,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT10M28.00S,10:28,Q1 10:28,45.53333333333333,17,2pt,MISS K. Durant 12' turnaround Shot,['fromturnover'],Durant,2,2,Missed,True,False,201142,,steal,rebound,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT10M25.00S,10:25,Q1 10:25,45.583333333333336,18,rebound,M. Turner REBOUND (Off:0 Def:1),[],Turner,2,2,,False,False,1626167,,2pt missed,2pt made,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT10M06.00S,10:06,Q1 10:06,45.9,19,2pt,D. Sabonis Layup (2 PTS) (M. Turner 1 AST),['pointsinthepaint'],Sabonis,4,2,Made,True,True,1627734,1626167.0,rebound,foul,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT10M06.00S,10:06,Q1 10:06,45.9,21,foul,K. Durant shooting personal FOUL (1 PF) (Sabonis 1 FT),['1freethrow'],Durant,4,2,,False,False,201142,,2pt made,freethrow,1627734.0,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT10M06.00S,10:06,Q1 10:06,45.9,23,freethrow,D. Sabonis Free Throw 1 of 1 (3 PTS),[],Sabonis,5,2,Made,False,False,1627734,,foul,2pt made,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT09M50.00S,09:50,Q1 09:50,44.166666666666664,24,2pt,K. Durant 7' fadeaway Jump Shot (4 PTS) (N. Claxton 1 AST),['pointsinthepaint'],Durant,5,4,Made,True,True,201142,1629651.0,freethrow,turnover,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT09M37.00S,09:37,Q1 09:37,44.38333333333333,26,turnover,D. Sabonis bad pass TURNOVER (2 TO),[],Sabonis,5,4,,False,False,1627734,,2pt made,steal,,1629651.0,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612754.0,22100571
1,PT09M37.00S,09:37,Q1 09:37,44.38333333333333,27,steal,N. Claxton STEAL (2 STL),[],Claxton,5,4,,False,False,1629651,,turnover,turnover,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
1,PT09M37.00S,09:37,Q1 09:37,44.38333333333333,28,turnover,K. Irving step out-of-bounds TURNOVER (1 TO),[],Irving,5,4,,False,False,202681,,steal,3pt missed,,,,1626167|1626208|1627734|1629651|1630561|1630613|201142|201935|202681|203200,1610612751.0,22100571
