period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M32.00S,11:32,Q1 11:32,46.46666666666667,7,foul,A. Gordon shooting personal FOUL (1 PF) (Kessler 2 FT),['2freethrow'],Gordon,0,0,,False,False,203932,,,freethrow,1631117.0,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT11M32.00S,11:32,Q1 11:32,46.46666666666667,9,freethrow,MISS W. Kessler Free Throw 1 of 2,[],Kessler,0,0,Missed,False,False,1631117,,foul,rebound,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT11M32.00S,11:32,Q1 11:32,46.46666666666667,10,rebound,TEAM offensive REBOUND,"['deadball', 'team']",,0,0,,False,False,0,,freethrow,freethrow,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT11M32.00S,11:32,Q1 11:32,46.46666666666667,11,freethrow,W. Kessler Free Throw 2 of 2 (1 PTS),[],Kessler,0,1,Made,False,False,1631117,,rebound,foul,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT11M20.00S,11:20,Q1 11:20,46.666666666666664,12,foul,W. Kessler shooting personal FOUL (1 PF) (Westbrook 2 FT),['2freethrow'],Kessler,0,1,,False,False,1631117,,freethrow,freethrow,201566.0,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT11M20.00S,11:20,Q1 11:20,46.666666666666664,14,freethrow,MISS R. Westbrook Free Throw 1 of 2,[],Westbrook,0,1,Missed,False,False,201566,,foul,rebound,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT11M20.00S,11:20,Q1 11:20,46.666666666666664,15,rebound,TEAM offensive REBOUND,"['deadball', 'team']",,0,1,,False,False,0,,freethrow,freethrow,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT11M20.00S,11:20,Q1 11:20,46.666666666666664,16,freethrow,MISS R. Westbrook Free Throw 2 of 2,[],Westbrook,0,1,Missed,False,False,201566,,rebound,rebound,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT11M17.00S,11:17,Q1 11:17,46.71666666666667,17,rebound,W. Kessler REBOUND (Off:0 Def:1),[],Kessler,0,1,,False,False,1631117,,freethrow,2pt made,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT11M00.00S,11:00,Q1 11:00,47.0,18,2pt,K. Filipowski DUNK (2 PTS) (K. George 1 AST),['pointsinthepaint'],Filipowski,0,3,Made,True,True,1642271,1641718.0,rebound,2pt missed,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT10M47.00S,10:47,Q1 10:47,45.21666666666667,20,2pt,MISS N. Jokić turnaround Hook,['pointsinthepaint'],Jokić,0,3,Missed,True,False,203999,,2pt made,rebound,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT10M43.00S,10:43,Q1 10:43,45.28333333333333,21,rebound,N. Jokić REBOUND (Off:1 Def:0),[],Jokić,0,3,,False,False,203999,,2pt missed,2pt made,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT10M43.00S,10:43,Q1 10:43,45.28333333333333,22,2pt,N. Jokić tip Layup (2 PTS),"['pointsinthepaint', '2ndchance']",Jokić,2,3,Made,True,False,203999,,rebound,turnover,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
1,PT10M30.00S,10:30,Q1 10:30,45.5,23,turnover,C. Sexton bad pass TURNOVER (1 TO),[],Sexton,2,3,,False,False,1629012,,2pt made,steal,,201566.0,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612762.0,22400148
1,PT10M30.00S,10:30,Q1 10:30,45.5,24,steal,R. Westbrook STEAL (1 STL),[],Westbrook,2,3,,False,False,201566,,turnover,2pt made,,,,1629008|1629012|1631117|1631128|1641718|1642262|1642271|201566|203932|203999,1610612743.0,22400148
