period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M45.00S,11:45,Q1 11:45,46.25,7,2pt,MISS J. Jackson Jr. 7' turnaround Hook,['pointsinthepaint'],Jackson Jr.,0,0,Missed,True,False,1628991,,,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT11M41.00S,11:41,Q1 11:41,46.31666666666667,8,rebound,N. Jokic REBOUND (Off:0 Def:1),[],Jokic,0,0,,False,False,203999,,2pt missed,2pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT11M34.00S,11:34,Q1 11:34,46.43333333333333,9,2pt,A. Gordon 15' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),[],Gordon,0,2,Made,True,True,203932,203999.0,rebound,3pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT11M23.00S,11:23,Q1 11:23,46.61666666666667,11,3pt,D. Bane 24' 3PT  (3 PTS) (J. Morant 1 AST),[],Bane,3,2,Made,True,True,1630217,1629630.0,2pt made,turnover,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT11M00.00S,11:00,Q1 11:00,47.0,13,turnover,M. Morris lost ball out-of-bounds TURNOVER (1 TO),[],Morris,3,2,,False,False,1628420,,3pt made,2pt missed,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT10M43.00S,10:43,Q1 10:43,45.28333333333333,14,2pt,MISS S. Adams Layup,"['pointsinthepaint', 'fromturnover']",Adams,3,2,Missed,True,False,203500,,turnover,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT10M40.00S,10:40,Q1 10:40,45.333333333333336,16,rebound,N. Jokic REBOUND (Off:0 Def:2),[],Jokic,3,2,,False,False,203999,,2pt missed,3pt missed,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT10M29.00S,10:29,Q1 10:29,45.516666666666666,17,3pt,MISS M. Morris 25' 3PT,[],Morris,3,2,Missed,True,False,1628420,,rebound,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT10M26.00S,10:26,Q1 10:26,45.56666666666667,18,rebound,S. Adams REBOUND (Off:0 Def:1),[],Adams,3,2,,False,False,203500,,3pt missed,3pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT10M16.00S,10:16,Q1 10:16,45.733333333333334,19,3pt,D. Melton 3PT  (3 PTS) (J. Morant 2 AST),[],Melton,6,2,Made,True,True,1629001,1629630.0,rebound,turnover,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT09M59.00S,09:59,Q1 09:59,44.016666666666666,21,turnover,N. Jokic bad pass TURNOVER (1 TO),[],Jokic,6,2,,False,False,203999,,3pt made,steal,,1629630.0,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT09M59.00S,09:59,Q1 09:59,44.016666666666666,22,steal,J. Morant STEAL (1 STL),[],Morant,6,2,,False,False,1629630,,turnover,foul,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT09M57.00S,09:57,Q1 09:57,44.05,23,foul,N. Jokic take personal FOUL (1 PF),[],Jokic,6,2,,False,False,203999,,steal,3pt missed,1629630.0,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT09M44.00S,09:44,Q1 09:44,44.266666666666666,25,3pt,MISS D. Bane step back 3PT,['fromturnover'],Bane,6,2,Missed,True,False,1630217,,foul,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT09M40.00S,09:40,Q1 09:40,44.333333333333336,26,rebound,D. Melton REBOUND (Off:1 Def:0),[],Melton,6,2,,False,False,1629001,,3pt missed,2pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT09M40.00S,09:40,Q1 09:40,44.333333333333336,27,2pt,D. Melton tip DUNK (5 PTS),"['pointsinthepaint', 'fromturnover', '2ndchance']",Melton,8,2,Made,True,False,1629001,,rebound,timeout,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT09M40.00S,09:40,Q1 09:40,44.333333333333336,28,timeout,DEN Timeout,"['team', 'mandatory']",,8,2,,False,False,0,,2pt made,2pt missed,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT09M25.00S,09:25,Q1 09:25,44.583333333333336,29,2pt,MISS W. Barton 21' pullup Shot,[],Barton,8,2,Missed,True,False,203115,,timeout,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT09M23.00S,09:23,Q1 09:23,44.61666666666667,30,rebound,J. Jackson Jr. REBOUND (Off:0 Def:1),[],Jackson Jr.,8,2,,False,False,1628991,,2pt missed,2pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT09M09.00S,09:09,Q1 09:09,44.85,31,2pt,J. Jackson Jr. 9' driving floating Jump Shot (2 PTS) (J. Morant 3 AST),['pointsinthepaint'],Jackson Jr.,10,2,Made,True,True,1628991,1629630.0,rebound,2pt missed,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT08M56.00S,08:56,Q1 08:56,43.06666666666667,33,2pt,MISS M. Morris 20' pullup Shot,[],Morris,10,2,Missed,True,False,1628420,,2pt made,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT08M52.00S,08:52,Q1 08:52,43.13333333333333,34,rebound,S. Adams REBOUND (Off:0 Def:2),[],Adams,10,2,,False,False,203500,,2pt missed,turnover,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT08M46.00S,08:46,Q1 08:46,43.233333333333334,35,turnover,J. Morant step out-of-bounds TURNOVER (1 TO),[],Morant,10,2,,False,False,1629630,,rebound,2pt missed,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT08M29.00S,08:29,Q1 08:29,43.516666666666666,36,2pt,MISS N. Jokic driving Layup,"['pointsinthepaint', 'fromturnover']",Jokic,10,2,Missed,True,False,203999,,turnover,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT08M26.00S,08:26,Q1 08:26,43.56666666666667,37,rebound,D. Melton REBOUND (Off:1 Def:1),[],Melton,10,2,,False,False,1629001,,2pt missed,2pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT08M22.00S,08:22,Q1 08:22,43.63333333333333,38,2pt,D. Melton driving floating bank Jump Shot (7 PTS),"['pointsinthepaint', 'fastbreak']",Melton,12,2,Made,True,False,1629001,,rebound,3pt missed,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT08M01.00S,08:01,Q1 08:01,43.983333333333334,40,3pt,MISS N. Jokic 26' 3PT,[],Jokic,12,2,Missed,True,False,203999,,2pt made,rebound,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT07M58.00S,07:58,Q1 07:58,42.03333333333333,41,rebound,J. Morant REBOUND (Off:0 Def:1),[],Morant,12,2,,False,False,1629630,,3pt missed,2pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT07M51.00S,07:51,Q1 07:51,42.15,42,2pt,J. Morant 9' driving floating Jump Shot (2 PTS),['pointsinthepaint'],Morant,14,2,Made,True,False,1629630,,rebound,3pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT07M40.00S,07:40,Q1 07:40,42.333333333333336,43,3pt,W. Barton 25' 3PT pullup (3 PTS),[],Barton,14,5,Made,True,False,203115,,2pt made,3pt made,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT07M23.00S,07:23,Q1 07:23,42.61666666666667,44,3pt,J. Jackson Jr. 24' 3PT  (5 PTS) (S. Adams 1 AST),[],Jackson Jr.,17,5,Made,True,True,1628991,203500.0,3pt made,timeout,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612763.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,46,timeout,DEN Timeout,"['team', 'mandatory']",,17,5,,False,False,0,,3pt made,substitution,,,,1628420|1628991|1629001|1629008|1629630|1630217|203115|203500|203932|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,47,substitution,SUB out: D. Bane,[],Bane,17,5,,False,False,1630217,,timeout,substitution,,,,1628420|1628991|1629001|1629008|1629630|203115|203500|203932|203999,1610612763.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,48,substitution,SUB out: W. Barton,[],Barton,17,5,,False,False,203115,,substitution,substitution,,,,1628420|1628991|1629001|1629008|1629630|203500|203932|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,49,substitution,SUB out: A. Gordon,[],Gordon,17,5,,False,False,203932,,substitution,substitution,,,,1628420|1628991|1629001|1629008|1629630|203500|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,50,substitution,SUB out: M. Morris,[],Morris,17,5,,False,False,1628420,,substitution,substitution,,,,1628991|1629001|1629008|1629630|203500|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,51,substitution,SUB out: M. Porter Jr.,[],Porter Jr.,17,5,,False,False,1629008,,substitution,substitution,,,,1628991|1629001|1629630|203500|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,52,substitution,SUB in: Z. Williams,[],Williams,17,5,,False,False,1630533,,substitution,substitution,,,,1628991|1629001|1629630|1630533|203500|203999,1610612763.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,53,substitution,SUB in: B. Hyland,[],Hyland,17,5,,False,False,1630538,,substitution,substitution,,,,1628991|1629001|1629630|1630533|1630538|203500|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,54,substitution,SUB in: F. Campazzo,[],Campazzo,17,5,,False,False,1630267,,substitution,substitution,,,,1628991|1629001|1629630|1630267|1630533|1630538|203500|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,55,substitution,SUB in: J. Green,[],Green,17,5,,False,False,201145,,substitution,substitution,,,,1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612743.0,22100114
1,PT07M15.00S,07:15,Q1 07:15,42.75,56,substitution,SUB in: P. Dozier,[],Dozier,17,5,,False,False,1628408,,substitution,foul,,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612743.0,22100114
1,PT07M07.00S,07:07,Q1 07:07,42.88333333333333,57,foul,J. Jackson Jr. shooting personal FOUL (1 PF) (Jokic 2 FT),['2freethrow'],Jackson Jr.,17,5,,False,False,1628991,,substitution,freethrow,203999.0,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612763.0,22100114
1,PT07M07.00S,07:07,Q1 07:07,42.88333333333333,59,freethrow,N. Jokic Free Throw 1 of 2 (1 PTS),[],Jokic,17,6,Made,False,False,203999,,foul,freethrow,,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612743.0,22100114
1,PT07M07.00S,07:07,Q1 07:07,42.88333333333333,60,freethrow,N. Jokic Free Throw 2 of 2 (2 PTS),[],Jokic,17,7,Made,False,False,203999,,freethrow,2pt made,,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612743.0,22100114
1,PT06M54.00S,06:54,Q1 06:54,41.1,61,2pt,S. Adams Layup (2 PTS) (J. Morant 4 AST),['pointsinthepaint'],Adams,19,7,Made,True,True,203500,1629630.0,freethrow,2pt missed,,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612763.0,22100114
1,PT06M42.00S,06:42,Q1 06:42,41.3,63,2pt,MISS J. Green driving finger roll Layup,['pointsinthepaint'],Green,19,7,Missed,True,False,201145,,2pt made,rebound,,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612743.0,22100114
1,PT06M40.00S,06:40,Q1 06:40,41.333333333333336,64,rebound,J. Morant REBOUND (Off:0 Def:2),[],Morant,19,7,,False,False,1629630,,2pt missed,foul,,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612763.0,22100114
1,PT06M39.00S,06:39,Q1 06:39,41.35,65,foul,B. Hyland take personal FOUL (1 PF),[],Hyland,19,7,,False,False,1630538,,rebound,substitution,1629630.0,,,1628408|1628991|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612743.0,22100114
1,PT06M39.00S,06:39,Q1 06:39,41.35,67,substitution,SUB out: J. Jackson Jr.,[],Jackson Jr.,19,7,,False,False,1628991,,foul,substitution,,,,1628408|1629001|1629630|1630267|1630533|1630538|201145|203500|203999,1610612763.0,22100114
1,PT06M39.00S,06:39,Q1 06:39,41.35,68,substitution,SUB in: K. Anderson,[],Anderson,19,7,,False,False,203937,,substitution,3pt missed,,,,1628408|1629001|1629630|1630267|1630533|1630538|201145|203500|203937|203999,1610612763.0,22100114
1,PT06M33.00S,06:33,Q1 06:33,41.45,69,3pt,MISS D. Melton 26' 3PT,[],Melton,19,7,Missed,True,False,1629001,,substitution,rebound,,,,1628408|1629001|1629630|1630267|1630533|1630538|201145|203500|203937|203999,1610612763.0,22100114
1,PT06M31.00S,06:31,Q1 06:31,41.483333333333334,70,rebound,N. Jokic REBOUND (Off:0 Def:3),[],Jokic,19,7,,False,False,203999,,3pt missed,foul,,,,1628408|1629001|1629630|1630267|1630533|1630538|201145|203500|203937|203999,1610612743.0,22100114
1,PT06M31.00S,06:31,Q1 06:31,41.483333333333334,71,foul,K. Anderson personal FOUL (1 PF),[],Anderson,19,7,,False,False,203937,,rebound,2pt made,1628408.0,,,1628408|1629001|1629630|1630267|1630533|1630538|201145|203500|203937|203999,1610612763.0,22100114
1,PT06M18.00S,06:18,Q1 06:18,41.7,73,2pt,N. Jokic 12' Jump Shot (4 PTS),[],Jokic,19,9,Made,True,False,203999,,foul,turnover,,,,1628408|1629001|1629630|1630267|1630533|1630538|201145|203500|203937|203999,1610612743.0,22100114
